n,Number of Operations
1,7
2,167
3,327
4,819
5,1143
6,1381
7,1943
8,2579
9,2685
10,3673
11,4109
12,5015
13,5409
14,6299
15,6935
16,7887
17,8107
18,8505
19,9103
20,10743
21,11687
22,12895
23,13219
24,14893
25,15431
26,17095
27,18089
28,19427
29,19447
30,21481
31,21913
32,23865
33,23539
34,24493
35,24727
36,26359
37,27055
38,28257
39,29431
40,31547
41,32441
42,35009
43,36013
44,38057
45,38631
46,40461
47,40765
48,44309
49,45211
50,46963
51,47565
52,50653
53,51917
54,55039
55,55009
56,58627
57,58441
58,59443
59,61109
60,64437
61,64291
62,66807
63,66739
64,69921
65,68851
66,71131
67,71405
68,73619
69,72693
70,74827
71,75631
72,78593
73,78477
74,81829
75,82751
76,85853
77,86077
78,89019
79,90253
80,94567
81,95403
82,97401
83,100063
84,104077
85,104629
86,108315
87,108623
88,113155
89,113041
90,115821
91,116281
92,120201
93,120893
94,123971
95,125431
96,130747
97,130163
98,135157
99,135981
100,140479
101,140949
102,143515
103,145037
104,150597
105,151957
106,155825
107,156343
108,162209
109,163567
110,166681
111,166145
112,173433
113,171625
114,175431
115,175001
116,179087
117,180297
118,184373
119,185107
120,191133
121,190951
122,193269
123,193949
124,198265
125,197225
126,201057
127,200575
128,207563
129,205095
130,205957
131,205925
132,209949
133,209579
134,214509
135,213103
136,218959
137,216405
138,218667
139,219261
140,223855
141,222859
142,227959
143,228301
144,234189
145,233059
146,235903
147,237481
148,243525
149,244149
150,249407
151,248953
152,255637
153,255453
154,259685
155,260531
156,266465
157,267207
158,272029
159,273851
160,280661
161,280065
162,285667
163,287701
164,293423
165,294593
166,300185
167,301879
168,309097
169,310089
170,313791
171,314671
172,322133
173,322389
174,326895
175,328147
176,336903
177,334205
178,338571
179,338731
180,345697
181,344641
182,349171
183,349943
184,357587
185,356329
186,361673
187,364275
188,370423
189,370909
190,377655
191,377619
192,388179
193,386985
194,389995
195,392409
196,401559
197,401393
198,408277
199,407341
200,416495
201,415629
202,422099
203,421771
204,428521
205,429213
206,435835
207,439607
208,448789
209,447741
210,454045
211,455813
212,464197
213,464121
214,469009
215,470889
216,481719
217,480861
218,488099
219,487777
220,496133
221,496749
222,500963
223,500909
224,513055
225,508393
226,512957
227,511113
228,520991
229,519689
230,525303
231,524057
232,534943
233,534103
234,541147
235,540787
236,550711
237,550879
238,556181
239,557083
240,567431
241,564619
242,570307
243,569899
244,576735
245,576269
246,581349
247,579709
248,589153
249,587317
250,589609
251,590395
252,597731
253,597629
254,602669
255,601121
256,613747
257,607155
258,612063
259,608819
260,614947
261,611561
262,616003
263,615889
264,624609
265,623819
266,626511
267,626421
268,634735
269,634197
270,639801
271,636817
272,649151
273,643109
274,647471
275,644557
276,650959
277,650001
278,657415
279,656855
280,666747
281,664277
282,668753
283,670359
284,678661
285,676331
286,685481
287,684071
288,697563
289,693029
290,697729
291,697685
292,704179
293,704485
294,712771
295,713709
296,725075
297,724479
298,730729
299,732529
300,742553
301,740387
302,748447
303,747683
304,761953
305,759213
306,765573
307,764143
308,774589
309,774651
310,783351
311,782229
312,795009
313,794455
314,801343
315,801587
316,812755
317,813293
318,822737
319,821957
320,835131
321,833773
322,838491
323,839815
324,850807
325,853071
326,863347
327,862189
328,875341
329,876077
330,885237
331,885195
332,897349
333,897079
334,905903
335,908727
336,921783
337,918455
338,926843
339,926493
340,936789
341,937057
342,944561
343,944445
344,958571
345,956599
346,964915
347,964421
348,976683
349,977565
350,986561
351,985085
352,1001665
353,996203
354,1000839
355,997745
356,1010393
357,1008121
358,1016735
359,1015499
360,1030243
361,1025709
362,1032577
363,1030875
364,1042943
365,1042007
366,1050551
367,1051477
368,1066263
369,1060433
370,1066363
371,1068991
372,1082021
373,1080107
